user_id,github_profile_id,first_name,last_name,language,stargazers_count,commits
7770,7770,Dries,,PHP,2704,10425
18182,18183,Rainer,Gerhards,C,561,9968
7784,7784,Samuel,Clay,Python,4723,9408
9272,9272,Mike,Bayer,Python,2158,9261
28716,28718,Cheng,Zhao,C++,49652,7854
30137,30139,A.,Unique TensorFlower,C++,68027,7688
7665,7665,Alex,Pott,PHP,2704,6649
12538,12537,Russ,Cox,Go,31427,6213
18102,18104,Florian,Rappl,C#,1532,5587
17978,17979,Michał,Dutkiewicz,C++,758,5584
31875,31877,Doug,Gregor,C++,40014,5448
8650,8650,webchick,,PHP,2704,5379
36799,36801,Jack,Lukic,JavaScript,36834,5377
12663,12662,Sergey,M․,Python,28554,5287
8272,8272,RJ,Ryan,C++,795,5242
31725,31727,swift-ci,,C++,40014,5120
48897,48899,Costa,Tsaousis,C,23497,4531
9650,9650,M66B,,Java,1627,4438
7674,7674,Nathaniel,Catchpole,PHP,2704,4326
22120,22121,Tim,Morgan,Ruby,1350,4300
32951,32953,Chris,Lattner,C++,40014,4258
8529,8529,Hendrik,Leppkes,C++,926,3945
25832,25834,Taylor,Otwell,PHP,34403,3835
32991,32993,Joe,Groff,C++,40014,3829
27455,27457,Mark,Otto,JavaScript,114553,3798
16815,16816,Philipp,Hagemeister,Python,28554,3783
17986,17987,Marius,Kintel,C++,1739,3657
12415,12414,Parker,Moore,Ruby,30893,3589
8279,8279,Daniel,Schürmann,C++,795,3428
13658,13658,Katrina,Owen,Ruby,3995,3370
10124,10124,Chris,Mcdonough,Python,2449,3369
35928,35930,David,Glasser,JavaScript,38104,3350
15359,15360,David,McReynolds,PHP,828,3188
19370,19371,michael,,C++,972,3044
49154,49156,Tobias,Koppers,JavaScript,31484,3029
35065,35067,ry,,JavaScript,38632,3021
28911,28913,Mark,Otto,JavaScript,114553,3019
27319,27321,Mike,Bostock,JavaScript,67625,2963
31925,31927,Jordan,Rose,C++,40014,2913
41617,41619,Rob,Pike,Go,31427,2908
41194,41196,Robert,Griesemer,Go,31427,2884
31855,31857,Michael,Gottesman,C++,40014,2848
33317,33319,Dmitri,Hrybenko,C++,40014,2738
20023,20024,Jeremy,Freeman,Python,662,2725
35718,35720,Ben,Newman,JavaScript,38104,2641
22637,22638,Mathieu,Virbel,Python,6337,2543
19415,19416,philip,,C++,972,2534
32931,32933,Slava,Pestov,C++,40014,2507
25766,25768,krimdomu,,Perl,559,2475
15760,15761,Harutyun,Amirjanyan,JavaScript,15608,2472
19702,19703,Stephen,Samuel,Scala,973,2457
14098,14098,Gwendal,Roué,Objective-C,1313,2406
32045,32047,practicalswift,,C++,40014,2393
22343,22344,Roman,Grebenchuk,PHP,616,2299
7543,7543,Unitech,,JavaScript,20710,2238
28799,28801,Kenneth,Reitz,Python,27122,2141
27413,27415,Quincy,Larson,JavaScript,291202,2125
22647,22648,Andreas,Røsdal,JavaScript,674,2121
30770,30772,Ben,Gotow,JavaScript,23333,2116
8313,8313,Owen,Williams,C++,795,2092
8705,8705,Ben,Noordhuis,JavaScript,38632,2076
28824,28826,Kevin,Sawicki,C++,49652,2062
17146,17147,Zhang,Rui,C,14990,2045
13793,13793,YUKI,Hiroshi,JavaScript,594,2040
41149,41151,Brad,Fitzpatrick,Go,31427,2022
7790,7790,Evan,You,JavaScript,64803,1997
17573,17573,David,Greenspan,JavaScript,38104,1977
15635,15636,Chris,McDonough,Python,2449,1962
33141,33143,Dave,Abrahams,C++,40014,1883
18580,18581,Mike,Jumper,Java,856,1855
10187,10187,Randy,Edmunds,JavaScript,27968,1842
12277,12276,Dimitri,van Heesch,C++,1501,1840
29959,29961,Sebastiaan,van Stijn,Go,45174,1802
9478,9478,M66B,,Java,1627,1801
33434,33436,Adam,Bradley,TypeScript,31037,1790
14146,14146,piro,,JavaScript,594,1743
8956,8956,Paul,O’Shannessy,JavaScript,74323,1740
13790,13790,YUKI,"""Piro"" Hiroshi",JavaScript,594,1725
44281,44283,Jason,San Jose,JavaScript,27968,1724
16126,16127,satyr,,JavaScript,510,1718
52424,52426,John,Resig,JavaScript,46196,1712
32941,32943,Dmitri,Gribenko,C++,40014,1706
48768,48770,Hannah,Wolfe,JavaScript,23710,1683
8735,8735,Guy,Bedford,JavaScript,8509,1669
32835,32837,John,McCall,C++,40014,1645
25561,25563,oakes,,Clojure,1128,1644
22550,22551,Isaac,Z. Schlueter,JavaScript,38632,1630
15901,15902,Fabian,Jakobs,JavaScript,15608,1609
7125,7125,CodingTwinky,,JavaScript,7192,1574
25526,25528,Hakim,El Hattab,JavaScript,36158,1571
23474,23475,Simon,Cropp,C#,1136,1565
14551,14552,Johan,Haleby,Java,2326,1532
28689,28691,Victor,Felder,,91951,1524
8430,8430,Uwe,Klotz,C++,795,1517
23596,23597,John,Simons,C#,1136,1517
26048,26050,philsquared,,C++,5433,1511
36748,36750,Slava,Kim,JavaScript,38104,1501
41965,41967,Mattt,Thompson,Objective-C,29824,1493
30149,30151,Vincent,Demeester,Go,45174,1484
18542,18543,Michiel,de Jong,JavaScript,850,1478
